inst	m	l	greedy	grasp	ag
65	1000	300	50441444	48520133	48915107
66	1000	300	50617354	48505199	48917237
67	1000	300	50393779	48553812	48927684
68	1000	300	50469789	48474263	48928650
69	1000	300	50548220	48456554	48867830
70	1000	300	50732550	48481241	48897181
71	1000	300	50517815	48466046	48889978
72	1000	300	50622329	48406069	48873847
73	1000	300	50665581	48564673	48934855
74	1000	300	50650398	48435550	48832268
75	1000	300	50316253	48498987	48883914
76	1000	300	50431766	48421605	48886698
77	1000	300	50227604	48459189	48895390
78	1000	300	50357638	48577552	48964269
79	1000	300	50395336	48460157	48857465
80	1000	300	50401933	48447801	48755877
81	1000	300	50499791	48504066	48909636
82	1000	300	50425187	48560423	48986453
83	1000	300	50463141	48584814	49002599
84	1000	300	50446893	48423978	48885001
85	1000	300	50373200	48562278	48935151
86	1000	300	50468721	48477781	48889889
87	1000	300	50309469	48428282	48870727
88	1000	300	50449444	48513545	48924216
89	1000	300	50353911	48531836	48901315
90	1000	300	50468284	48487848	48898624
91	1000	300	50516920	48545936	48910930
92	1000	300	50522092	48437971	48787799
93	1000	300	50496991	48467599	48909259
94	1000	300	50111073	48505193	48923791
95	1000	300	50497725	48497708	48952950
96	1000	300	50412261	48479510	48850756
97	1000	300	50618387	48441352	48881494
98	1000	300	50472927	48390037	48826539
99	1000	300	50342659	48529450	49027082
0	500	500	70029418	65994623	67505884
1	500	500	69748818	65962803	67493183
2	500	500	69965411	66023813	67629049
3	500	500	69912769	66133854	67589566
4	500	500	69920539	66044800	67486212
5	500	500	69651579	65946612	67484441
6	500	500	69914784	65827699	67303316
7	500	500	69627231	65961096	67448232
8	500	500	69906482	66041731	67390221
9	500	500	69675054	66117916	67557326
10	500	500	69955090	66125156	67524453
11	500	500	69720098	66147704	67475682
12	500	500	69811908	66218666	67530816
13	500	500	69599161	66015816	67358433
14	500	500	69763911	65986774	67362138
15	500	500	69860293	66139433	67597584
16	500	500	70011164	66113997	67450866
17	500	500	69466871	66037330	67453192
18	500	500	69743065	66067505	67663086
19	500	500	69765998	65832890	67403694
20	500	500	69662731	65979719	67365816
21	500	500	70035072	66074013	67419001
22	500	500	69842732	66237992	67746480
23	500	500	70177327	65848011	67446808
24	500	500	69620667	66150500	67505743
25	500	500	70082624	66110527	67429339
26	500	500	69757501	66028106	67636031
27	500	500	70036923	66087844	67442184
28	500	500	69868830	66208714	67614285
29	500	500	69796137	65947404	67614096
30	500	500	70131641	66098336	67556317
31	500	500	69991205	66055114	67511496
32	500	500	69915486	66010048	67555251
33	500	500	69882465	65965541	67436904
34	500	500	69853326	66081546	67723693
35	500	500	69475598	65932106	67481785
36	500	500	70134265	66018322	67580256
37	500	500	69734994	66078855	67659446
38	500	500	69655104	66168266	67762656
39	500	500	69823425	66136437	67655991
40	500	500	69658247	66040911	67489323
41	500	500	70084927	66203011	67710741
42	500	500	70117367	66093811	67553289
43	500	500	69861503	66164042	67627598
44	500	500	69974202	66147466	67652423
45	500	500	70128407	66153432	67473271
46	500	500	69827938	66116677	67387382
47	500	500	70137901	66036238	67285138
48	500	500	69928935	66125352	67296968
49	500	500	69857584	65955287	67307105
50	500	500	69966741	66135297	67530488
51	500	500	70074722	66115976	67520629
52	500	500	70012088	66052805	67189235
53	500	500	69745778	66149046	67393433
54	500	500	70000575	65960875	67276314
55	500	500	70046100	66149883	67407878
56	500	500	70120158	66118527	67325761
57	500	500	69867977	66126425	67466948
58	500	500	69905536	65971788	67295385
59	500	500	70032130	66164617	67464933
60	500	500	70054606	66182750	67393628
61	500	500	69648188	66209871	67459784
62	500	500	70004239	66201342	67523727
63	500	500	69749762	66007281	67264171
64	500	500	69940455	66124405	67413689
65	500	500	69876614	65967225	67399394
66	500	500	69823120	66102720	67390241
67	500	500	69993817	66222488	67470305
68	500	500	70084941	66114394	67442497
69	500	500	69672845	65999024	67279148
70	500	500	70119557	66034096	67432500
71	500	500	70069872	66139631	67390567
72	500	500	70267633	66141399	67438390
73	500	500	69689642	66165698	67441484
74	500	500	69942944	66177445	67585905
75	500	500	69783847	66092345	67451186
76	500	500	69932509	66093189	67540967
77	500	500	69944412	66014041	67403424
78	500	500	70102416	66122314	67375165
79	500	500	69785224	66038037	67379053
80	500	500	69922630	66010670	67334254
81	500	500	69792836	65934590	67331823
82	500	500	69940005	66089337	67414323
83	500	500	69865660	66063131	67330169
84	500	500	69778848	66149496	67464964
85	500	500	69900667	65989595	67332111
86	500	500	70097818	66099554	67390293
87	500	500	70065693	66284591	67548995
88	500	500	69979157	66105189	67322191
89	500	500	69747939	66020079	67433384
90	500	500	69819084	66078823	67362328
91	500	500	69961889	65913302	67270167
