inst	m	l	greedy	grasp	ag	hibrida
3	1000	300	50357345	48525305	48989417	50052270
4	1000	300	50667622	48468822	48976232	50038015
5	1000	300	50649645	48491305	48804665	50072290
6	1000	300	50392741	48372028	48821268	50098039
7	1000	300	50217737	48520345	48943109	50095505
8	1000	300	50358181	48511039	48931759	50184960
9	1000	300	50365606	48372165	48925373	50117241
10	1000	300	50375282	48600909	49020719	50170154
11	1000	300	50498313	48481470	48947406	50039701
12	1000	300	50485562	48559058	49051079	50168340
13	1000	300	50349390	48568811	48956555	50077042
14	1000	300	50167059	48476136	48869537	49934260
15	1000	300	50569251	48517250	49002973	50068879
16	1000	300	50308024	48505293	48952880	49975262
17	1000	300	50393496	48500738	48938802	50105757
18	1000	300	50293090	48420054	48982527	50073712
19	1000	300	50599294	48631499	49115668	50016878
20	1000	300	50489701	48494856	48922706	50164093
21	1000	300	50425036	48482136	48851192	50046151
22	1000	300	50515844	48454375	48940098	50031066
23	1000	300	50414635	48512985	48984361	49999606
24	1000	300	50371958	48545429	48997027	50067999
25	1000	300	50485954	48540645	49003186	50078291
26	1000	300	50459839	48534007	48980482	50021242
27	1000	300	50526157	48487035	48954620	50087323
28	1000	300	50358245	48523930	48994700	50224002
29	1000	300	50349137	48521367	49013192	50083187
30	1000	300	50354905	48548799	49080917	49981813
31	1000	300	50509361	48563437	48942052	50099835
32	1000	300	50463068	48497065	48963281	50138719
33	1000	300	50527410	48417103	48935387	50103237
34	1000	300	50473124	48554789	49077839	50006907
35	1000	300	50455734	48500203	48946316	50027322
36	1000	300	50617319	48387780	48888571	50135623
37	1000	300	50524729	48450528	48962196	49996920
38	1000	300	50698073	48368117	48891860	50110365
39	1000	300	50341916	48406430	48931769	50028155
40	1000	300	50483057	48547089	49024435	49993916
41	1000	300	50530107	48519066	49068196	50180037
42	1000	300	50395989	48518634	49085466	50014187
43	1000	300	50570919	48494790	48909692	50030698
44	1000	300	50464724	48522964	49029819	49948106
45	1000	300	50473147	48456765	48933064	50168950
46	1000	300	50710900	48518984	48922065	49957178
47	1000	300	50460972	48545034	48983599	50050637
48	1000	300	50386840	48539331	48855713	50185154
49	1000	300	50377920	48558535	49051584	50137856
50	1000	300	50467701	48421851	48928637	49952125
51	1000	300	50421094	48496751	48912465	50085692
52	1000	300	50616042	48608871	48990339	50319124
53	1000	300	50278387	48481147	48857537	50059483
54	1000	300	50429272	48493198	48862575	50039298
55	1000	300	50475176	48506393	48881354	49993725
56	1000	300	50474985	48490271	48859122	50039136
57	1000	300	50740114	48503402	48976427	50025382
58	1000	300	50460176	48488083	48969193	50034082
59	1000	300	50357082	48397423	48764710	50090921
60	1000	300	50491570	48578422	48987296	50173361
61	1000	300	50538188	48430994	48848957	50154942
62	1000	300	50756611	48501268	48847043	50056146
63	1000	300	50533766	48474043	48849068	49999285
64	1000	300	50498189	48526544	48965534	50085142
65	1000	300	50441444	48520133	48915107	49990871
66	1000	300	50617354	48505199	48917237	50014300
